N,P,K,temperature,humidity,ph,rainfall,label
67.49,59.01,47.32,24.19,81.56,5.73,155.81,rice
77.32,52.02,47.08,20.14,89.7,6.75,171.23,rice
63.64,43.67,43.04,23.67,84.32,5.94,211.19,rice
62.79,45.84,43.66,23.19,87.85,5.8,201.42,rice
71.85,40.93,46.08,21.19,80.65,6.92,246.56,rice
76.17,46.09,40.98,24.79,84.4,5.68,199.52,rice
60.69,58.19,42.59,24.64,83.12,6.28,204.67,rice
63.7,59.39,47.75,26.58,88.95,6.4,242.19,rice
61.77,43.92,40.45,22.28,83.89,5.91,232.87,rice
67.14,45.62,45.43,20.99,88.02,5.61,248.69,rice
75.44,43.97,40.06,25.71,87.07,6.59,227.13,rice
61.48,47.17,41.16,26.04,86.23,6.0,156.36,rice
66.22,46.5,47.3,24.46,88.87,6.21,161.96,rice
74.26,55.22,45.61,25.4,84.94,6.28,192.75,rice
60.51,42.16,40.31,24.45,83.14,6.26,240.76,rice
64.99,48.21,47.56,21.6,80.77,5.93,166.12,rice
78.59,56.16,46.33,26.1,88.04,5.78,239.26,rice
70.79,56.15,48.96,22.23,81.1,5.84,192.71,rice
76.36,57.21,40.07,23.58,84.17,5.83,161.99,rice
66.75,58.86,43.23,23.63,87.03,6.05,247.18,rice
79.25,45.04,44.97,22.11,82.85,5.56,210.96,rice
70.05,41.03,42.79,26.36,82.4,5.72,198.95,rice
79.71,44.84,46.72,25.33,82.38,6.59,186.78,rice
72.65,52.67,45.36,20.63,88.35,5.98,168.65,rice
60.82,51.82,46.78,20.12,85.12,5.84,214.52,rice
63.49,53.82,43.87,26.56,81.38,6.01,161.35,rice
78.49,57.55,42.58,24.62,88.17,6.33,202.97,rice
64.84,41.86,48.97,26.3,86.33,6.01,184.92,rice
74.52,57.94,48.87,25.46,86.42,5.63,166.16,rice
77.97,52.13,40.09,20.71,86.64,5.51,166.08,rice
70.97,53.84,46.52,21.57,87.12,5.86,182.54,rice
74.93,52.99,48.49,24.6,85.68,5.64,186.77,rice
65.3,44.88,49.73,22.75,88.92,6.45,229.48,rice
70.05,51.54,44.93,21.37,87.22,5.92,152.43,rice
